cod_ibge,municipio,sexo,idade,populacao
2300804,Antonina do Norte - CE,Total,75 a 79 anos,232.0
2300804,Antonina do Norte - CE,Total,80 a 84 anos,146.0
2300804,Antonina do Norte - CE,Total,85 a 89 anos,77.0
2300804,Antonina do Norte - CE,Total,90 a 94 anos,33.0
2300804,Antonina do Norte - CE,Total,95 a 99 anos,5.0
2300804,Antonina do Norte - CE,Total,100 anos ou mais,4.0
2300903,Apuiarés - CE,Total,Total,12928.0
2300903,Apuiarés - CE,Total,0 a 4 anos,846.0
2300903,Apuiarés - CE,Total,5 a 9 anos,864.0
2300903,Apuiarés - CE,Total,10 a 14 anos,894.0
2300903,Apuiarés - CE,Total,15 a 19 anos,1006.0
2300903,Apuiarés - CE,Total,20 a 24 anos,981.0
2300903,Apuiarés - CE,Total,25 a 29 anos,1023.0
2300903,Apuiarés - CE,Total,30 a 34 anos,922.0
2300903,Apuiarés - CE,Total,35 a 39 anos,957.0
2300903,Apuiarés - CE,Total,40 a 44 anos,894.0
2300903,Apuiarés - CE,Total,45 a 49 anos,823.0
2300903,Apuiarés - CE,Total,50 a 54 anos,754.0
2300903,Apuiarés - CE,Total,55 a 59 anos,801.0
2300903,Apuiarés - CE,Total,60 a 64 anos,591.0
2300903,Apuiarés - CE,Total,65 a 69 anos,466.0
2300903,Apuiarés - CE,Total,70 a 74 anos,389.0
2300903,Apuiarés - CE,Total,75 a 79 anos,295.0
2300903,Apuiarés - CE,Total,80 a 84 anos,209.0
2300903,Apuiarés - CE,Total,85 a 89 anos,120.0
2300903,Apuiarés - CE,Total,90 a 94 anos,65.0
2300903,Apuiarés - CE,Total,95 a 99 anos,17.0
2300903,Apuiarés - CE,Total,100 anos ou mais,11.0
2301000,Aquiraz - CE,Total,Total,80645.0
2301000,Aquiraz - CE,Total,0 a 4 anos,4893.0
2301000,Aquiraz - CE,Total,5 a 9 anos,5630.0
2301000,Aquiraz - CE,Total,10 a 14 anos,5428.0
2301000,Aquiraz - CE,Total,15 a 19 anos,5441.0
2301000,Aquiraz - CE,Total,20 a 24 anos,6004.0
2301000,Aquiraz - CE,Total,25 a 29 anos,6271.0
2301000,Aquiraz - CE,Total,30 a 34 anos,6545.0
2301000,Aquiraz - CE,Total,35 a 39 anos,6831.0
2301000,Aquiraz - CE,Total,40 a 44 anos,6930.0
2301000,Aquiraz - CE,Total,45 a 49 anos,5657.0
