cod_ibge,municipio,ano,idade_mae,nascimentos
2300408,Aiuaba - CE,2018,30 a 34 anos,36.0
2300408,Aiuaba - CE,2018,35 a 39 anos,24.0
2300408,Aiuaba - CE,2018,40 a 44 anos,6.0
2300408,Aiuaba - CE,2018,45 a 49 anos,
2300408,Aiuaba - CE,2018,50 anos ou mais,
2300408,Aiuaba - CE,2018,Ignorada,
2300408,Aiuaba - CE,2019,Total,170.0
2300408,Aiuaba - CE,2019,Menos de 15 anos,
2300408,Aiuaba - CE,2019,15 a 19 anos,34.0
2300408,Aiuaba - CE,2019,20 a 24 anos,35.0
2300408,Aiuaba - CE,2019,25 a 29 anos,33.0
2300408,Aiuaba - CE,2019,30 a 34 anos,38.0
2300408,Aiuaba - CE,2019,35 a 39 anos,19.0
2300408,Aiuaba - CE,2019,40 a 44 anos,10.0
2300408,Aiuaba - CE,2019,45 a 49 anos,1.0
2300408,Aiuaba - CE,2019,50 anos ou mais,
2300408,Aiuaba - CE,2019,Ignorada,
2300507,Alcântaras - CE,2014,Total,150.0
2300507,Alcântaras - CE,2014,Menos de 15 anos,2.0
2300507,Alcântaras - CE,2014,15 a 19 anos,22.0
2300507,Alcântaras - CE,2014,20 a 24 anos,33.0
2300507,Alcântaras - CE,2014,25 a 29 anos,43.0
2300507,Alcântaras - CE,2014,30 a 34 anos,32.0
2300507,Alcântaras - CE,2014,35 a 39 anos,13.0
2300507,Alcântaras - CE,2014,40 a 44 anos,4.0
2300507,Alcântaras - CE,2014,45 a 49 anos,1.0
2300507,Alcântaras - CE,2014,50 anos ou mais,
2300507,Alcântaras - CE,2014,Ignorada,
2300507,Alcântaras - CE,2015,Total,170.0
2300507,Alcântaras - CE,2015,Menos de 15 anos,4.0
2300507,Alcântaras - CE,2015,15 a 19 anos,34.0
2300507,Alcântaras - CE,2015,20 a 24 anos,35.0
2300507,Alcântaras - CE,2015,25 a 29 anos,43.0
2300507,Alcântaras - CE,2015,30 a 34 anos,37.0
2300507,Alcântaras - CE,2015,35 a 39 anos,14.0
2300507,Alcântaras - CE,2015,40 a 44 anos,3.0
2300507,Alcântaras - CE,2015,45 a 49 anos,
2300507,Alcântaras - CE,2015,50 anos ou mais,
2300507,Alcântaras - CE,2015,Ignorada,
2300507,Alcântaras - CE,2016,Total,152.0
2300507,Alcântaras - CE,2016,Menos de 15 anos,
2300507,Alcântaras - CE,2016,15 a 19 anos,27.0
2300507,Alcântaras - CE,2016,20 a 24 anos,38.0
2300507,Alcântaras - CE,2016,25 a 29 anos,43.0
2300507,Alcântaras - CE,2016,30 a 34 anos,31.0
2300507,Alcântaras - CE,2016,35 a 39 anos,11.0
2300507,Alcântaras - CE,2016,40 a 44 anos,2.0
2300507,Alcântaras - CE,2016,45 a 49 anos,
2300507,Alcântaras - CE,2016,50 anos ou mais,
2300507,Alcântaras - CE,2016,Ignorada,
2300507,Alcântaras - CE,2017,Total,135.0
2300507,Alcântaras - CE,2017,Menos de 15 anos,
2300507,Alcântaras - CE,2017,15 a 19 anos,19.0
2300507,Alcântaras - CE,2017,20 a 24 anos,30.0
2300507,Alcântaras - CE,2017,25 a 29 anos,34.0
2300507,Alcântaras - CE,2017,30 a 34 anos,36.0
2300507,Alcântaras - CE,2017,35 a 39 anos,14.0
2300507,Alcântaras - CE,2017,40 a 44 anos,1.0
2300507,Alcântaras - CE,2017,45 a 49 anos,1.0
2300507,Alcântaras - CE,2017,50 anos ou mais,
2300507,Alcântaras - CE,2017,Ignorada,
2300507,Alcântaras - CE,2018,Total,145.0
2300507,Alcântaras - CE,2018,Menos de 15 anos,3.0
2300507,Alcântaras - CE,2018,15 a 19 anos,21.0
2300507,Alcântaras - CE,2018,20 a 24 anos,32.0
2300507,Alcântaras - CE,2018,25 a 29 anos,32.0
2300507,Alcântaras - CE,2018,30 a 34 anos,32.0
2300507,Alcântaras - CE,2018,35 a 39 anos,17.0
2300507,Alcântaras - CE,2018,40 a 44 anos,8.0
2300507,Alcântaras - CE,2018,45 a 49 anos,
2300507,Alcântaras - CE,2018,50 anos ou mais,
2300507,Alcântaras - CE,2018,Ignorada,
2300507,Alcântaras - CE,2019,Total,155.0
2300507,Alcântaras - CE,2019,Menos de 15 anos,2.0
2300507,Alcântaras - CE,2019,15 a 19 anos,16.0
2300507,Alcântaras - CE,2019,20 a 24 anos,33.0
2300507,Alcântaras - CE,2019,25 a 29 anos,42.0
2300507,Alcântaras - CE,2019,30 a 34 anos,35.0
2300507,Alcântaras - CE,2019,35 a 39 anos,21.0
2300507,Alcântaras - CE,2019,40 a 44 anos,6.0
2300507,Alcântaras - CE,2019,45 a 49 anos,
2300507,Alcântaras - CE,2019,50 anos ou mais,
2300507,Alcântaras - CE,2019,Ignorada,
2300606,Altaneira - CE,2014,Total,92.0
2300606,Altaneira - CE,2014,Menos de 15 anos,
2300606,Altaneira - CE,2014,15 a 19 anos,29.0
2300606,Altaneira - CE,2014,20 a 24 anos,26.0
2300606,Altaneira - CE,2014,25 a 29 anos,15.0
2300606,Altaneira - CE,2014,30 a 34 anos,10.0
2300606,Altaneira - CE,2014,35 a 39 anos,10.0
2300606,Altaneira - CE,2014,40 a 44 anos,2.0
2300606,Altaneira - CE,2014,45 a 49 anos,
2300606,Altaneira - CE,2014,50 anos ou mais,
2300606,Altaneira - CE,2014,Ignorada,
2300606,Altaneira - CE,2015,Total,48.0
2300606,Altaneira - CE,2015,Menos de 15 anos,
2300606,Altaneira - CE,2015,15 a 19 anos,8.0
2300606,Altaneira - CE,2015,20 a 24 anos,18.0
2300606,Altaneira - CE,2015,25 a 29 anos,13.0
2300606,Altaneira - CE,2015,30 a 34 anos,5.0
2300606,Altaneira - CE,2015,35 a 39 anos,3.0
2300606,Altaneira - CE,2015,40 a 44 anos,1.0
2300606,Altaneira - CE,2015,45 a 49 anos,
2300606,Altaneira - CE,2015,50 anos ou mais,
2300606,Altaneira - CE,2015,Ignorada,
2300606,Altaneira - CE,2016,Total,107.0
2300606,Altaneira - CE,2016,Menos de 15 anos,1.0
2300606,Altaneira - CE,2016,15 a 19 anos,23.0
