NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Sexo (Código);Sexo;Idade (Código);Idade;Forma de declaração da idade (Código);Forma de declaração da idade;Unidade de Medida (Código);Unidade de Medida;Valor
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93086;15 a 19 anos;113635;Total;45;Pessoas;330466
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93087;20 a 24 anos;113635;Total;45;Pessoas;351598
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93088;25 a 29 anos;113635;Total;45;Pessoas;351614
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93089;30 a 34 anos;113635;Total;45;Pessoas;337983
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93090;35 a 39 anos;113635;Total;45;Pessoas;337705
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93091;40 a 44 anos;113635;Total;45;Pessoas;319883
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93092;45 a 49 anos;113635;Total;45;Pessoas;269593
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93093;50 a 54 anos;113635;Total;45;Pessoas;244355
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93094;55 a 59 anos;113635;Total;45;Pessoas;221823
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93095;60 a 64 anos;113635;Total;45;Pessoas;174235
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93096;65 a 69 anos;113635;Total;45;Pessoas;132808
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93097;70 a 74 anos;113635;Total;45;Pessoas;106513
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;93098;75 a 79 anos;113635;Total;45;Pessoas;71160
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;49108;80 a 84 anos;113635;Total;45;Pessoas;48069
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;49109;85 a 89 anos;113635;Total;45;Pessoas;24079
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;60040;90 a 94 anos;113635;Total;45;Pessoas;10406
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;60041;95 a 99 anos;113635;Total;45;Pessoas;3263
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;4;Homens;6653;100 anos ou mais;113635;Total;45;Pessoas;631
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;100362;Total;113635;Total;45;Pessoas;4537030
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93070;0 a 4 anos;113635;Total;45;Pessoas;280785
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93084;5 a 9 anos;113635;Total;45;Pessoas;298601
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93085;10 a 14 anos;113635;Total;45;Pessoas;301306
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93086;15 a 19 anos;113635;Total;45;Pessoas;318346
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93087;20 a 24 anos;113635;Total;45;Pessoas;350081
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93088;25 a 29 anos;113635;Total;45;Pessoas;368075
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93089;30 a 34 anos;113635;Total;45;Pessoas;361434
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93090;35 a 39 anos;113635;Total;45;Pessoas;364496
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93091;40 a 44 anos;113635;Total;45;Pessoas;346024
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93092;45 a 49 anos;113635;Total;45;Pessoas;297089
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93093;50 a 54 anos;113635;Total;45;Pessoas;273328
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93094;55 a 59 anos;113635;Total;45;Pessoas;258096
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93095;60 a 64 anos;113635;Total;45;Pessoas;203739
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93096;65 a 69 anos;113635;Total;45;Pessoas;162115
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93097;70 a 74 anos;113635;Total;45;Pessoas;133576
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;93098;75 a 79 anos;113635;Total;45;Pessoas;90601
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;49108;80 a 84 anos;113635;Total;45;Pessoas;66393
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;49109;85 a 89 anos;113635;Total;45;Pessoas;37281
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;60040;90 a 94 anos;113635;Total;45;Pessoas;18019
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;60041;95 a 99 anos;113635;Total;45;Pessoas;6277
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;5;Mulheres;6653;100 anos ou mais;113635;Total;45;Pessoas;1368
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;6794;Total;100362;Total;113635;Total;45;Pessoas;10038
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;6794;Total;93070;0 a 4 anos;113635;Total;45;Pessoas;756
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;6794;Total;93084;5 a 9 anos;113635;Total;45;Pessoas;701
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;6794;Total;93085;10 a 14 anos;113635;Total;45;Pessoas;771
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;6794;Total;93086;15 a 19 anos;113635;Total;45;Pessoas;713
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;6794;Total;93087;20 a 24 anos;113635;Total;45;Pessoas;794
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;6794;Total;93088;25 a 29 anos;113635;Total;45;Pessoas;841
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;6794;Total;93089;30 a 34 anos;113635;Total;45;Pessoas;725
