NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Unidade de Medida (Código);Unidade de Medida;Valor
6;Município;2301257;Ararendá - CE;9324;População residente estimada;2020;2020;45;Pessoas;10959
6;Município;2301257;Ararendá - CE;9324;População residente estimada;2021;2021;45;Pessoas;10983
6;Município;2301257;Ararendá - CE;9324;População residente estimada;2024;2024;45;Pessoas;11485
6;Município;2301307;Araripe - CE;9324;População residente estimada;2014;2014;45;Pessoas;21230
6;Município;2301307;Araripe - CE;9324;População residente estimada;2015;2015;45;Pessoas;21289
6;Município;2301307;Araripe - CE;9324;População residente estimada;2016;2016;45;Pessoas;21345
6;Município;2301307;Araripe - CE;9324;População residente estimada;2017;2017;45;Pessoas;21398
6;Município;2301307;Araripe - CE;9324;População residente estimada;2018;2018;45;Pessoas;21550
6;Município;2301307;Araripe - CE;9324;População residente estimada;2019;2019;45;Pessoas;21600
6;Município;2301307;Araripe - CE;9324;População residente estimada;2020;2020;45;Pessoas;21654
6;Município;2301307;Araripe - CE;9324;População residente estimada;2021;2021;45;Pessoas;21707
6;Município;2301307;Araripe - CE;9324;População residente estimada;2024;2024;45;Pessoas;20223
6;Município;2301406;Aratuba - CE;9324;População residente estimada;2014;2014;45;Pessoas;11419
6;Município;2301406;Aratuba - CE;9324;População residente estimada;2015;2015;45;Pessoas;11358
6;Município;2301406;Aratuba - CE;9324;População residente estimada;2016;2016;45;Pessoas;11300
6;Município;2301406;Aratuba - CE;9324;População residente estimada;2017;2017;45;Pessoas;11244
6;Município;2301406;Aratuba - CE;9324;População residente estimada;2018;2018;45;Pessoas;11346
6;Município;2301406;Aratuba - CE;9324;População residente estimada;2019;2019;45;Pessoas;11847
6;Município;2301406;Aratuba - CE;9324;População residente estimada;2020;2020;45;Pessoas;11802
6;Município;2301406;Aratuba - CE;9324;População residente estimada;2021;2021;45;Pessoas;11759
6;Município;2301406;Aratuba - CE;9324;População residente estimada;2024;2024;45;Pessoas;11459
6;Município;2301505;Arneiroz - CE;9324;População residente estimada;2014;2014;45;Pessoas;7768
6;Município;2301505;Arneiroz - CE;9324;População residente estimada;2015;2015;45;Pessoas;7771
6;Município;2301505;Arneiroz - CE;9324;População residente estimada;2016;2016;45;Pessoas;7774
6;Município;2301505;Arneiroz - CE;9324;População residente estimada;2017;2017;45;Pessoas;7777
6;Município;2301505;Arneiroz - CE;9324;População residente estimada;2018;2018;45;Pessoas;7836
6;Município;2301505;Arneiroz - CE;9324;População residente estimada;2019;2019;45;Pessoas;7840
6;Município;2301505;Arneiroz - CE;9324;População residente estimada;2020;2020;45;Pessoas;7844
6;Município;2301505;Arneiroz - CE;9324;População residente estimada;2021;2021;45;Pessoas;7848
6;Município;2301505;Arneiroz - CE;9324;População residente estimada;2024;2024;45;Pessoas;7619
6;Município;2301604;Assaré - CE;9324;População residente estimada;2014;2014;45;Pessoas;23058
6;Município;2301604;Assaré - CE;9324;População residente estimada;2015;2015;45;Pessoas;23126
6;Município;2301604;Assaré - CE;9324;População residente estimada;2016;2016;45;Pessoas;23191
6;Município;2301604;Assaré - CE;9324;População residente estimada;2017;2017;45;Pessoas;23254
6;Município;2301604;Assaré - CE;9324;População residente estimada;2018;2018;45;Pessoas;23417
6;Município;2301604;Assaré - CE;9324;População residente estimada;2019;2019;45;Pessoas;23417
6;Município;2301604;Assaré - CE;9324;População residente estimada;2020;2020;45;Pessoas;23478
6;Município;2301604;Assaré - CE;9324;População residente estimada;2021;2021;45;Pessoas;23537
6;Município;2301604;Assaré - CE;9324;População residente estimada;2024;2024;45;Pessoas;22212
6;Município;2301703;Aurora - CE;9324;População residente estimada;2014;2014;45;Pessoas;24658
6;Município;2301703;Aurora - CE;9324;População residente estimada;2015;2015;45;Pessoas;24602
6;Município;2301703;Aurora - CE;9324;População residente estimada;2016;2016;45;Pessoas;24548
