NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;D7C;D7N;D8C;D8N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Mês do nascimento (Código);Mês do nascimento;Sexo (Código);Sexo;Local do nascimento (Código);Local do nascimento;Número de nascidos por parto (Código);Número de nascidos por parto;Idade da mãe na ocasião do parto (Código);Idade da mãe na ocasião do parto;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;0;Total;45;Pessoas;250
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;3
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;43
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;68
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;50
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;41
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;25
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;5
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;-
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;-
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;104539;Ignorado;0;Total;0;Total;5413;Ignorada;45;Pessoas;15
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;2868051
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;19104
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;436592
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;714240
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;685116
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;585042
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;334155
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;77772
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;4513
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;360
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;5413;Ignorada;45;Pessoas;11157
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;0;Total;45;Pessoas;1469865
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;9902
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;224306
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;366742
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;350730
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;299433
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;170736
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;39663
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;2285
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;188
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;4;Homens;0;Total;0;Total;5413;Ignorada;45;Pessoas;5880
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2017;2017;0;Total;5;Mulheres;0;Total;0;Total;0;Total;45;Pessoas;1397891
